# Entities with family relationships but no external identifiers
qid,english_label,english_description,fathers,mothers,children,spouses,has_p39_no_identifiers,has_p39_no_relatives
Q143820,,,Q147449;Q147447;Q147450;Q147448;Q147451;Q147449;Q147447;Q147450;Q147448;Q147451,Q128103;Q128103;Q128103;Q128103,Q141171;Q141171,Q127097;Q127097,No,No
Q143824,,,Q147012;Q127586;Q127588;Q127584;Q127582;Q147012;Q127586;Q127588;Q127584;Q127582,Q117287;Q127580;Q127198;Q117287;Q127580;Q127198,Q141173;Q141173,,No,No
Q143835,,,Q128289;Q143836;Q128287;Q128281;Q143580;Q128285;Q128289;Q143836;Q128287;Q128281;Q143580;Q128285,Q141175;Q141175;Q141175;Q141175,Q147583;Q147583,Q147585;Q147585,No,No
Q143836,,,Q147603;Q147605;Q147601;Q147603;Q147605;Q147601,Q147599;Q147599;Q147599;Q147599,Q141175;Q141175,Q143835;Q143835,No,No
Q143837,,,Q146596;Q116072;Q119752;Q119754;Q146596;Q116072;Q119752;Q119754,Q143296;Q118232;Q119750;Q119750;Q143296;Q118232;Q119750;Q119750,Q141176;Q141176,Q143507;Q143507,No,No
Q143838,,,Q146583;Q122005;Q122001;Q122015;Q121999;Q146583;Q122005;Q122001;Q122015;Q121999,Q143289;Q143289;Q143289;Q143289,Q141177;Q141177,Q127940;Q127940,No,No
Q143839,,,,Q128299;Q147331;Q128299;Q147331,Q141177;Q141177,Q127940;Q127940,No,No
Q143840,,,Q143841;Q143842;Q143841;Q143842,Q141179;Q141179;Q141179;Q141179,,,No,No
Q143841,,,Q117754;Q126700;Q122599;Q126702;Q147644;Q117754;Q126700;Q122599;Q126702;Q147644,Q122603;Q122603,Q143840;Q143840,Q141179;Q141179,No,No
Q143842,,,,,Q143840;Q143840,Q141179;Q141179,No,No
Q143890,,,Q147725;Q147725,,Q120728;Q120728;Q120728,Q126303;Q126303;Q126303,No,No
Q24050,,,Q48152;Q48156,,Q37314,,No,No
Q24075,,,Q48256,Q44001,Q21818,Q41859,No,No
Q24129,,,Q24520;Q48429;Q42934;Q48437;Q48441;Q48433;Q48425,Q48421,Q21875,Q41987,No,No
Q24174,,,Q48556;Q48560,,Q21929,,No,No
Q143975,,,Q147906;Q124135;Q141322;Q147906;Q124135;Q141322;Q147908;Q147908,Q124133;Q124133;Q147904;Q124133;Q124133;Q147904,,,No,No
Q143989,,,,,Q141333;Q141333,Q143314;Q143314,No,No
Q24293,,,Q48993,,Q22096,,No,No
Q24294,,,,,Q22096,,No,No
Q24297,,,,,Q22325,,No,No
Q24298,,,,,Q22325,Q42850,No,No
Q24300,,,Q25023;Q49017;Q22161;Q49009;Q49013;Q24357,Q38072,Q22100,,No,No
Q24301,,,,,Q22100,,No,No
Q24304,,,,Q38076,,,No,No
Q24308,,,Q42356;Q38084;Q42352,Q42348,Q22325,Q22951,No,No
Q24311,,,Q49068;Q49064,,Q42348,,No,No
Q24318,,,Q49088,Q49080;Q49084,Q38104,,No,No
Q24324,,,Q22119;Q49118,,Q22116,,No,No
Q24325,,,Q38112,,,,No,No
Q24326,,,,,Q38112,,No,No
Q24328,,,Q49126;Q22120,,Q49122,,No,No
Q24329,,,,,Q22120,,No,No
Q24331,,,,,Q22120,,No,No
Q24332,,,,,Q22120,,No,No
Q24333,,,,,Q22120,,No,No
Q24334,,,Q22121,,,,No,No
Q24336,,,,,Q22126,,No,No
Q24338,,,Q49138;Q49142;Q49146,Q38132,Q49134,,No,No
Q24340,,,Q49150,Q24961,Q22132,,No,No
Q24341,,,,,Q22132,,No,No
Q24342,,,Q24343,Q22133,Q49178,,No,No
Q24343,,,,,Q22133,Q24342,No,No
Q24344,,,,,Q38144,Q22868,No,No
Q24345,,,,Q22135,,,No,No
Q24346,,,Q24347;Q24349;Q24348;Q22136,Q22850,Q22912,Q49182,No,No
Q24347,,,Q49194;Q49190,Q49186,Q22850,Q24346,No,No
Q24348,,,,,Q22850,Q24346,No,No
Q24349,,,,,Q22850,Q24346,No,No
Q24350,,,Q42416;Q24351;Q22137,Q22158,Q49197,,No,No
Q24351,,,,,Q22158,Q24350,No,No
Q24353,,,,Q22138,Q44086,Q49205,No,No
Q24354,,,,,Q22146,,No,No
Q24355,,,Q49220,Q22859,,,No,No
Q24357,,,Q22148,,Q24300,,No,No
Q24359,,,,Q22149,,,No,No
Q24361,,,Q49237;Q49241;Q49245;Q49248;Q49252;Q49256;Q49260;Q49264;Q49268;Q49280;Q49272;Q49276;Q24362;Q24363;Q38152;Q24364;Q49285;Q24365;Q24366,,Q22271,,No,No
Q24362,,,Q49289,,Q24361,,No,No
Q24363,,,,,Q24361,,No,No
Q24364,,,,,Q24361,,No,No
Q24365,,,Q49293,,Q24361,,No,No
Q24366,,,,,Q24361,,No,No
Q144340,,,Q109253;Q144341;Q109253;Q144341,Q109373;Q109373,,,No,No
Q144341,,,Q109375;Q109375,Q59997;Q59997,Q109373;Q109373,Q144340;Q144340,No,No
Q144343,,,Q112292;Q112284;Q112286;Q112288;Q112282;Q112292;Q112284;Q112286;Q112288;Q112282,Q141716;Q141716,Q113514;Q113514,,No,No
Q144344,,,Q144345;Q144345,Q141717;Q141717,Q115482;Q115482,Q115484;Q115484,No,No
Q144345,,,Q148252;Q148253;Q148252;Q148253,Q148251;Q148251,Q144344;Q144344,Q141717;Q141717,No,No
Q144346,,,Q119033;Q119033,Q119031;Q119031,Q119029;Q119029,,No,No
Q2440,Hardaar,,Q29212;Q52776,,Q2441;Q52784,,No,No
Q24407,,,,Q40191,Q22192,,No,No
Q2441,Spitama,,Q2440;Q52780,,Q2442;Q52788,,No,No
Q24422,,,Q48260,Q44045,Q22219,,No,No
Q24443,,,Q49505;Q49517;Q49521;Q49525;Q49513;Q49509;Q49501;Q49530,,Q22246,,No,No
Q24459,,,Q49577;Q49573,,Q38405,,No,No
Q24461,,,Q44005,,Q22256,Q39847,No,No
Q24468,,,Q42452,,Q38433,,No,No
Q24471,,,Q25019,,Q22267,,No,No
Q24479,,,Q38441;Q48449;Q49593,,Q49589,,No,No
Q2448,Frasht,,Q2450;Q52820,,Q2446;Q52804,,No,No
Q24480,,,Q22271,Q24481,,,No,No
Q24481,,,Q22271,Q24480,,,No,No
Q24484,,,,Q22271,,,No,No
Q24486,,,Q24912;Q43836;Q49609;Q43832;Q43840;Q24915;Q49605;Q22779,,Q22271,,No,No
Q24487,,,,,Q22271,,No,No
Q24488,,,,,Q22271,,No,No
Q24489,,,Q49621;Q49617,Q49613,Q22271,,No,No
Q24490,,,,,Q22271,,No,No
Q24491,,,,,Q22271,,No,No
Q24495,,,Q25001;Q22858,Q39887,Q38469,,No,No
Q24496,,,Q49633,,Q22282,,No,No
Q2450,Urvat-Ga,,Q2452;Q52828,,Q2448;Q52812,,No,No
Q24502,,,Q49637,,Q22288,,No,No
Q24509,,,Q49665;Q49669;Q49673;Q49661;Q49657,,Q38493,,No,No
Q24514,,,Q49681,,Q22294,,No,No
Q24515,,,,,Q22294,,No,No
Q24516,,,Q49689;Q49685,Q24912,Q22294,Q42778,No,No
Q2452,Frashta-ka,,Q2453;Q52832,,Q2450;Q52820,,No,No
Q24520,,,Q24943,Q38497,Q24129,Q48421,No,No
Q24521,,,,Q49697,Q22298,,No,No
Q24522,,,,,Q22298,,No,No
Q24524,,,Q22872,,Q22299,,No,No
Q2453,Notarga,,Q2454;Q2455;Q2456;Q2457;Q52836;Q52840;Q52844;Q52848,,Q2452;Q52828,,No,No
Q2454,Frana,,,,Q2453;Q52832,,No,No
Q2455,Vamun,,,,Q2453;Q52832,,No,No
Q2456,Shun,,,,Q2453;Q52832,,No,No
Q24566,,,,,Q22333,,No,No
Q24567,,,Q49822,Q22974,Q22333,,No,No
Q24568,,,,,Q22333,,No,No
Q2457,Changranha,,,,Q2453;Q52832,,No,No
Q144436,,,Q118484;Q123638;Q118486;Q118484;Q123638;Q118486,Q123618;Q123618,,,No,No
Q144452,,,Q124896;Q124896;Q146636;Q147263;Q146636;Q147263,Q119569;Q119571;Q119569;Q119571,,,No,No
Q144453,,,Q148379;Q148379,Q144454;Q144454;Q144454;Q144454,Q118320;Q118320,Q115880;Q115880,No,No
Q144454,,,Q148379;Q148379,Q144453;Q144453;Q144453;Q144453,,,No,No
Q144455,,,Q148392;Q148393;Q148392;Q148393,Q148391;Q148391;Q148391;Q148391,Q121750;Q121750;Q121750,Q127710;Q127710;Q127710,No,No
Q144456,,,Q128669;Q128663;Q128667;Q128665;Q128673;Q128669;Q128663;Q128667;Q128665;Q128673,Q128659;Q146621;Q128659;Q146621;Q128659;Q146621;Q128659;Q146621,Q121752;Q121752,Q117678;Q117678,No,No
Q144457,,,Q142400;Q127842;Q127844;Q127846;Q127848;Q142400;Q127842;Q127844;Q127846;Q127848,Q143303;Q143303;Q143303;Q143303,Q141818;Q141818,Q127838;Q127838,No,No
Q144458,,,,,Q141819;Q141819,,No,No
Q144459,,,,,Q141819;Q141819,Q143516;Q143516,No,No
Q144460,,,Q122883;Q122883,Q119756;Q119756;Q119756;Q119756,Q141819;Q141819,Q143516;Q143516,No,No
Q144461,,,Q122901;Q122903;Q122901;Q122903,Q118332;Q118332,Q141819;Q141819,Q143516;Q143516,No,No
Q144462,,,Q122905;Q122907;Q122909;Q122905;Q122907;Q122909,Q146817;Q146817;Q146817;Q146817,Q141819;Q141819,Q143516;Q143516,No,No
Q144463,,,Q147121;Q148395;Q122919;Q122915;Q148399;Q148396;Q148398;Q148397;Q122917;Q122931;Q122925;Q147121;Q148395;Q122919;Q122915;Q148399;Q148396;Q148398;Q148397;Q122917;Q122931;Q122925,Q148394;Q148394;Q148394;Q148394,Q141819;Q141819,Q143516;Q143516,No,No
Q144464,,,Q119820;Q122933;Q122935;Q122937;Q119820;Q122933;Q122935;Q122937,Q116114;Q143787;Q116114;Q143787;Q116114;Q143787;Q116114;Q143787,Q141819;Q141819,Q143516;Q143516,No,No
Q144465,,,Q148402;Q148400;Q127862;Q148401;Q127856;Q127864;Q127866;Q148402;Q148400;Q127862;Q148401;Q127856;Q127864;Q127866,Q146632;Q146632,Q141819;Q141819,Q122523;Q122523,No,No
Q144466,,,Q124974;Q148425;Q143759;Q124974;Q148425;Q143759,Q121827;Q147300;Q121827;Q147300,Q120924;Q120924,Q125965;Q125965,No,No
Q24585,,,Q39867;Q49886;Q49882;Q49878,,Q22344,,No,No
Q24596,,,Q49990;Q49970;Q49974;Q49197,Q39704;Q49962;Q49966,Q22358,,No,No
Q2465,Lohrasp,,Q2476;Q52884,,Q29312;Q52876,,No,No
Q2467,Peshotan,,Q2468;Q52892,,Q2476;Q52884,,No,No
Q2468,Ardashir,,Q2470;Q51650,,Q2467;Q52888,,No,No
Q2470,Shapur,,Q2471;Q52914,,Q2468;Q52892,,No,No
Q2471,Bahram,,Q2472;Q52918,,Q2470;Q51650,,No,No
Q2472,Qobad,,Q2473;Q52922,,Q2471;Q52914,,No,No
Q2473,Kavus,,Q2474;Q52926,,Q2472;Q52918,,No,No
Q2474,Khosrow,,Q2475;Q52930,,Q2473;Q52922,,No,No
Q2475,Lohurasp,,Q29360;Q52934,,Q2474;Q52926,,No,No
Q2476,Vishtaspa,,Q2467;Q52888,,Q2465;Q52880,,No,No
Q2477,Artabanus,,Q2478;Q52942,,Q29360;Q52934,,No,No
Q2478,Arsames,,,,Q2477;Q52938,,No,No
Q2487,Suppiluliuma,,,,Q2515;Q52974,,No,No
Q24902,,,Q50956;Q50961,,Q43812,Q22755,No,No
Q24906,,,,,Q22764,,No,No
Q24907,,,,,Q22768,,No,No
Q24908,,,Q50971,Q50966,Q22768,,No,No
Q24909,,,,,Q50976,,No,No
Q2491,Nerikkaili,,,,Q2489;Q52986,,No,No
Q24912,,,Q49689;Q49685;Q51011;Q51006,Q24516;Q51001,Q24486,,No,No
Q24915,,,,,Q24486,,No,No
Q24916,,,Q51021;Q51026;Q51031;Q51036,Q57197;Q57203,Q22780,Q51016,No,No
Q24917,,,Q25068,Q22914,Q22780,,No,No
Q24919,,,,,Q22780,,No,No
Q24920,,,,Q22781,,,No,No
Q24929,,,Q51061;Q51056,,Q39799,,No,No
Q2493,Yuri Nappatellas,,,,Q2489;Q52986,,No,No
Q24936,,,Q43901,Q39871,,,No,No
Q24939,,,,,Q22824,,No,No
Q24940,,,Q51116,,Q22824,,No,No
Q24941,,,,,Q22824,,No,No
Q24943,,,,Q39883,Q24520,,No,No
Q24944,,,Q24950;Q24951;Q24948,Q22830,Q49224,Q49228,No,No
Q24945,,,Q24949;Q24947;Q24946,Q22830,Q44077,,No,No
Q24946,,,,Q24953,Q22830,Q24945,No,No
Q24947,,,,,Q22830,Q24945,No,No
Q24948,,,,,Q22830,Q24944,No,No
Q24949,,,,,Q22830,Q24945,No,No
Q24950,,,Q51141,,Q22830,Q24944,No,No
Q24951,,,,,Q22830,Q24944,No,No
Q24952,,,Q51151;Q51156;Q51161;Q51171;Q51166;Q51176;Q51181,Q51146,Q22833,,No,No
Q24953,,,,Q24946,Q22833,,No,No
Q24955,,,,,Q22834,,No,No
Q24956,,,,,Q22834,,No,No
Q24960,,,Q24961;Q24962;Q24964;Q24965;Q43925;Q43929,Q22835,Q49224,Q49228,No,No
Q24961,,,Q49150;Q49158;Q49162;Q49154;Q49174;Q49170,Q24340,Q22835,Q24960,No,No
Q24962,,,,,Q22835,Q24960,No,No
Q24964,,,Q51252;Q51241;Q51236;Q51246,Q51231,Q22835,Q24960,No,No
Q24965,,,,,Q22835,Q24960,No,No
Q24967,,,Q24969;Q24968,Q22836,Q51257,Q51262,No,No
Q24968,,,Q51282;Q51277,Q51272,Q22836,Q24967,No,No
Q24969,,,,Q51287,Q22836,Q24967,No,No
Q24971,,,Q24974;Q24973;Q24972;Q24975,Q22837,Q22912,Q49182,No,No
Q24972,,,,,Q22837,Q24971,No,No
Q24973,,,,,Q22837,Q24971,No,No
Q24974,,,,,Q22837,Q24971,No,No
Q24975,,,Q51297;Q51292;Q51302,Q51196,Q22837,Q24971,No,No
Q24976,,,Q43937;Q24979;Q24978;Q24977,Q22838,Q22912,Q49182,No,No
Q24977,,,,,Q22838,Q24976,No,No
Q24978,,,Q51312,Q51307,Q22838,Q24976,No,No
Q24979,,,,,Q22838,Q24976,No,No
Q24981,,,Q51322,Q22839,Q51317,,No,No
Q24982,,,Q24983,Q39915,Q51327,,No,No
Q24983,,,,,Q24982,Q39915,No,No
Q24987,,,Q22847;Q24988,,Q51337,,No,No
Q24988,,,Q24998,Q51356,Q24987,,No,No
Q24990,,,,Q22857,Q43953,,No,No
Q24991,,,Q24993;Q24992,Q22849,Q22912,Q49182,No,No
Q24992,,,Q51376;Q51386;Q51381,Q51371,Q22849,Q24991,No,No
Q24993,,,,Q51391,Q22849,Q24991,No,No
Q24994,,,Q24995,Q22854,,,No,No
Q24995,,,,,Q24994,Q22854,No,No
Q24996,,,Q24997,Q22855,Q51396,,No,No
Q24997,,,,,Q24996,Q22855,No,No
Q24998,,,Q24999;Q43957,Q22856,Q24988,Q51356,No,No
Q24999,,,Q51401,,Q24998,Q22856,No,No
Q25001,,,,,Q24495,,No,No
Q25004,,,,Q22866,Q49178,,No,No
Q25007,,,Q25010;Q39948;Q25009,Q25008,Q51421,Q51426,No,No
Q25008,,,Q25010;Q39948;Q25009,Q25007,Q51431,,No,No
Q25009,,,,,Q25007,Q25008,No,No
Q25010,,,Q51436,Q51126,Q25007,Q25008,No,No
Q25013,,,Q51441,Q49088,Q22871,,No,No
Q25015,,,,,Q22872,,No,No
Q25016,,,,,Q22872,,No,No
Q25019,,,Q25020,Q39960,Q24471,,No,No
Q2502,Ulmi-Teshup - Mursili III,,,,Q2495;Q53010,,No,No
Q25020,,,Q51451;Q51446,,Q25019,Q39960,No,No
Q25022,,,,Q39968,Q51456,,No,No
Q25023,,,,Q39976,Q24300,,No,No
Q25026,,,Q51466;Q39988;Q51461,,,,No,No
Q2503,Urhi-Teshup,,,,Q2495;Q53010,,No,No
Q25037,,,Q44025;Q51486;Q51490;Q51494,,Q40044,Q44041,No,No
Q25040,,,Q51506,,Q40052,,No,No
Q25042,,,Q22907,Q44057,,,No,No
Q25047,,,Q25048,Q22909,,,No,No
Q25048,,,Q51534,,Q22909,Q25047,No,No
Q25049,,,Q51550;Q51542;Q51546;Q51554,Q51538,Q42356,,No,No
Q25052,,,Q25054;Q25055;Q44082;Q22911,Q25053,Q51574,,No,No
Q25053,,,Q25054;Q25055;Q44082;Q22911,Q25052,Q51578,Q51582,No,No
Q25054,,,Q51594,,Q25052,Q25053,No,No
Q25055,,,,,Q25052,Q25053,No,No
Q25057,,,,,Q22912,Q51606,No,No
Q25058,,,,,Q22912,Q51534,No,No
Q25059,,,,,Q22912,Q51610,No,No
Q2506,Muwatti,,,,Q2497;Q53018,Q51906;Q70488,No,No
Q25060,,,,,Q22912,Q51610,No,No
Q25062,,,,,Q22912,Q51614,No,No
Q25063,,,,,Q22912,Q51614,No,No
Q25064,,,,,Q22912,Q49182,No,No
Q25065,,,,,Q22912,Q49182,No,No
Q25066,,,,,Q22912,Q49182,No,No
Q25067,,,,,Q22912,Q49182,No,No
Q25068,,,Q51626;Q51622,Q51618,Q22914,Q24917,No,No
Q25069,,,Q40068,,,,No,No
Q25070,,,,,Q22921,,No,No
Q25075,,,Q42637;Q44106;Q22927,,Q51634,Q49421,No,No
Q25077,,,Q51669;Q51091;Q51649;Q51661;Q51665;Q51646;Q51653;Q51657,Q51638;Q51642,Q22927,,No,No
Q25078,,,Q22928,,Q51673,,No,No
Q25079,,,,,Q22928,,No,No
Q25080,,,Q51337;Q51677,,Q22928,,No,No
Q25082,,,,,Q22931,Q44110,No,No
Q25085,,,Q40112,,Q51056,,No,No
Q25087,,,Q51705,,Q22944,,No,No
Q25093,,,,,Q22947,,No,No
Q25095,,,Q49178,Q49268;Q51725,Q40128,,No,No
Q25098,,,Q51257;Q51733;Q51729,Q40195;Q57692,Q23023,Q42806,No,No
Q25104,,,,Q42862,Q22989,,No,No
Q25133,,,Q49182,Q51785,Q40299,,No,No
Q25140,,,Q44378;Q51801;Q51797,,Q23023,,No,No
Q25141,,,Q51804,,Q23023,,No,No
Q144900,,,Q144904;Q144902;Q144906;Q144903;Q144907;Q144904;Q144902;Q144906;Q144903;Q144907,Q142151;Q142151;Q142151;Q142151,Q144871;Q144871,Q142407;Q142407,No,No
Q144903,,,Q148942;Q148945;Q148944;Q148943;Q148942;Q148945;Q148944;Q148943,Q148455;Q148455,Q142151;Q142151,Q144900;Q144900,No,No
Q144904,,,Q148948;Q145230;Q148946;Q148949;Q148950;Q145132;Q148948;Q145230;Q148946;Q148949;Q148950;Q145132,Q145456;Q148947;Q145456;Q148947,Q142151;Q142151,Q144900;Q144900,No,No
Q144906,,,,Q145064;Q145064,Q142151;Q142151,Q144900;Q144900,No,No
Q144907,,,Q148952;Q148952,Q148951;Q148951,Q142151;Q142151,Q144900;Q144900,No,No
Q25142,,,,,Q23023,,No,No
Q25145,,,Q51808;Q51812;Q51816,Q40416;Q51801,Q40340,Q44295,No,No
Q25151,,,Q51836,,Q23029,Q44315,No,No
Q25153,,,Q51361;Q43953,,Q23030,,No,No
Q25173,,,,,Q40424,,No,No
Q25185,,,Q25187,Q23072,,,No,No
Q25186,,,Q51900,Q44396,Q23072,,No,No
Q25187,,,Q51904,,Q23072,Q25185,No,No
Q25188,,,Q51916;Q51908;Q51912,Q51900,Q23073,,No,No
Q25189,,,,,Q51900,Q51920,No,No
Q2521,Šummiri,,Q29529;Q2522;Q53101;Q53117,,Q153053,,No,No
Q145017,,,Q124519;Q124521;Q124523;Q124515;Q147395;Q124519;Q124521;Q124523;Q124515;Q147395,Q119356;Q149111;Q119356;Q119356;Q149111;Q119356,Q145016;Q145016,Q119348;Q119348,No,No
Q2612,Berenice,,Q29902;Q53474,,Q2613;Q53482,,No,No
Q2613,Antialcidas,,Q2612;Q53478,,Q2614;Q53486,,No,No
Q2614,Euthydemus,,Q2613;Q53482,,Q2615;Q53490,,No,No
Q2615,Antialcidas III,,Q2614;Q53486,,Q2616;Q53494,,No,No
Q2616,Antialcidas II,,Q2615;Q53490,,Q29926;Q53498,,No,No
Q2618,Antialcidas I,,Q29926;Q53498,,,Q2619;Q53506,No,No
Q2619,Agathoclea,,Q2618;Q53502,,,Q29939;Q53510,No,No
Q2623,Sahdev DIWAKAR,,Q153485;Q153485;Q153485,,Q2123;Q2123,,No,No
Q2627,"Prasusruta, King of Kosala",,Q2227;Q2227,,Q2234;Q2234,,No,No
Q2628,"Agnivarna, King of Kosala",,Q153578;Q153578;Q153578,,Q2630;Q2630,,No,No
Q2630,SUDARSHAN DHRUVASANDHI,,Q2628;Q2628,,Q2250;Q2250,,No,No
Q2638,Eden,,,Q30028;Q53599,,Q2639;Q53611,No,No
Q2648,Corticus,,Q152488;Q152490;Q152491,Q152432,,,No,No
Q26609,BHARŪK,,Q2347;Q52408,,Q2354;Q52436,,No,No
Q26859,,,Q29273;Q29269;Q29261;Q29277;Q29265,Q16076;Q29257,Q29249,Q29253,No,No
Q2703,Euglenius,,Q152486;Q152486,Q152466;Q152466,Q152426;Q152426,Q152427;Q152427,No,No
Q2721,Bran,,Q2722;Q2722,,Q152888;Q152888,,No,No
Q2722,Caradoc,,Q2723;Q2724;Q2723;Q2724,,Q2721;Q2721,,No,No
Q2723,Cynan,,Q2725;Q2725,,Q2722;Q2722,,No,No
Q2724,Acantho,,Q2758;Q2758,,Q2722;Q2722,,No,No
Q2725,Cadwr,,Q2726;Q2726,,Q2723;Q2723,,No,No
Q2726,Eudaf,,Q2727;Q2727,,Q2725;Q2725,,No,No
Q2727,Morfawr,,Q2728;Q2728,,Q2726;Q2726,,No,No
Q2728,Tudwal,,Q2729;Q2730;Q2729;Q2730,,Q2727;Q2727,,No,No
Q27284,,,,,Q17108,Q16118,No,No
Q27287,,,,,Q17108,Q16118,No,No
Q2729,Cynfawr,,Q2731;Q2732;Q2731;Q2732,,Q2728;Q2728,,No,No
Q27290,,,,,Q17108,Q16118,No,No
Q27293,,,,,Q17108,Q16118,No,No
Q2730,Rhineheart,,,,Q2728;Q2728,,No,No
Q2731,Custennin,,Q2733;Q2734;Q2733;Q2734,,Q2729;Q2729,,No,No
Q2732,Antiarchon,,,,Q2729;Q2729,,No,No
Q2733,Uther,,Q2735;Q2736;Q2735;Q2736,,Q2731;Q2731,,No,No
Q2734,Petallon,,,,Q2731;Q2731,,No,No
Q2735,Arthur,,Q2737;Q2738;Q2737;Q2738,,Q2733;Q2733,,No,No
Q2736,Maxil,,Q2753;Q2753,,Q2733;Q2733,,No,No
Q27365,,,Q30312;Q30344;Q30340;Q30348;Q30352;Q30356;Q30360,Q27350;Q30336,Q27362,Q16137,No,No
Q2737,Arthur the Younger,,Q2739;Q2740;Q2741;Q2739;Q2740;Q2741,,Q2735;Q2735,,No,No
Q27377,,,Q17176,Q16148,,,No,No
Q2738,Ptycho,,Q2756;Q2756,,Q2735;Q2735,,No,No
Q2739,Mordred,,Q2742;Q2743;Q2742;Q2743,,Q2737;Q2737,,No,No
Q2740,Wuttago,,,,Q2737;Q2737,,No,No
Q2741,Actino,,,,Q2737;Q2737,,No,No
Q27410,,,Q18673,Q17188,Q16161,,No,No
Q2742,Philip,,,,Q2739;Q2739,,No,No
Q2743,Melehan,,Q2744;Q2745;Q2744;Q2745,,Q2739;Q2739,,No,No
Q27431,,,Q18710;Q18711,Q18708;Q18709,Q16177,,No,No
Q2744,Brachy,,Q2746;Q2747;Q2748;Q2746;Q2747;Q2748,,Q2743;Q2743,,No,No
Q2745,Phlyctae,,,,Q2743;Q2743,,No,No
Q2746,Eubar,,Q2749;Q2750;Q2749;Q2750,,Q2744;Q2744,,No,No
Q2747,Buchan,,,,Q2744;Q2744,,No,No
Q2748,Homosteus,,,,Q2744;Q2744,,No,No
Q2749,Pachos,,Q2751;Q2752;Q2751;Q2752,,Q2746;Q2746,,No,No
Q2750,Coccos,,,,Q2746;Q2746,,No,No
Q2751,Dunkella,,,,Q2749;Q2749,,No,No
Q2752,Aspino,,,,Q2749;Q2749,,No,No
Q2753,Qilinyu,,Q2754;Q2754,,Q2736;Q2736,,No,No
Q2754,Entelognathus,,Q2755;Q2755,,Q2753;Q2753,,No,No
Q2755,Janusicthus,,Q152897;Q152898;Q152897;Q152898,,Q2754;Q2754,,No,No
Q2756,Mary,,Q2757;Q2757,,,Q2738;Q2738,No,No
Q2757,Icthys,,,,,Q2756;Q2756,No,No
Q2758,Sudopedal,,,,Q2724;Q2724,,No,No
Q2759,Auxin,,,,,Q844;Q844,No,No
Q2760,Knoxy,,Q2761;Q2761,,,Q844;Q844,No,No
Q2761,Pholon,,Q2762;Q2762,,,Q2760;Q2760,No,No
Q2762,[Unnamed Child],,Q152889;Q152889,,Q2761;Q2761,,No,No
Q2763,Ophios,,,,Q865;Q865,,No,No
Q2764,Psilos,,,,Q865;Q865,,No,No
Q2765,Maratton,,Q2766;Q2767;Q2766;Q2767,,Q866;Q866,,No,No
Q2766,Maratidus,,,,Q2765;Q2765,,No,No
Q2767,Leptos,,,,Q2765;Q2765,,No,No
Q2769,Romulus,,Q2771;Q2771,,Q878;Q878,,No,No
Q2770,Remus,,,,Q878;Q878,,No,No
Q2771,Hexapus,,Q2772;Q2773;Q2772;Q2773,,Q2769;Q2769,,No,No
Q2772,Proturus,,,,Q2771;Q2771,,No,No
Q2773,Vernus,,Q2774;Q2774,,Q2771;Q2771,,No,No
Q2774,Tails,,Q2775;Q2776;Q2775;Q2776,,Q2773;Q2773,,No,No
Q2775,Dipluron,,,,Q2774;Q2774,,No,No
Q2776,Ectognus,,Q2777;Q2778;Q2777;Q2778,,Q2774;Q2774,,No,No
Q2777,Archegnos,,,,Q2776;Q2776,,No,No
Q2778,Zerygos,,Q2779;Q2780;Q2779;Q2780,,Q2776;Q2776,,No,No
Q2779,Zygentos,,,,Q2778;Q2778,,No,No
Q2780,Pterygos,,Q2781;Q2781,,Q2778;Q2778,,No,No
Q2781,Isopter the twenty-gilled,,Q2782;Q2782,,Q2780;Q2780,,No,No
Q2782,Dezotopter the eighteen-gilled,,Q152902;Q152902,,Q2781;Q2781,,No,No
Q2783,Ephemeros,,,,Q899;Q899,,No,No
Q2784,Draco,,Q2785;Q2786;Q2785;Q2786,,Q899;Q899,,No,No
Q2785,Neopter,,Q1435;Q152931;Q152931;Q1435,,Q2784;Q2784,,No,No
Q2786,Odonatos,,,,Q2784;Q2784,,No,No
Q2788,Lopez,,Q2790;Q2791;Q2790;Q2791,,Q917;Q917,,No,No
Q2789,Orbillus,,,,Q917;Q917,,No,No
Q2790,Ganymede,,,,Q2788;Q2788,,No,No
Q2791,Leotios,,Q2792;Q2793;Q2792;Q2793,,Q2788;Q2788,,No,No
Q2792,Pyrenos,,,,Q2791;Q2791,,No,No
Q2793,Lecanius,,Q2794;Q2795;Q2794;Q2795,,Q2791;Q2791,,No,No
Q2794,Penicillius,,,,Q2793;Q2793,,No,No
Q2795,Capnos,,,,Q2793;Q2793,,No,No
Q27954,,,,,Q17108,Q18542,No,No
Q27957,,,,,Q17108,Q18543,No,No
Q2796,Dacrum,,,,Q940;Q940,,No,No
Q27960,,,,,Q17108,Q18542,No,No
Q27963,,,Q17563;Q28138;Q16426,Q17562,Q17108,Q17489,No,No
Q27966,,,,Q18553,Q17108,Q18052,No,No
Q27969,,,,,Q17108,Q30175,No,No
Q2797,Agaricus II,,Q2798;Q2798,,Q940;Q940,,No,No
Q27972,,,,,Q17108,Q18542,No,No
Q27975,,,,,Q17108,Q17489,No,No
Q27978,,,,,Q17108,Q17489,No,No
Q2798,Nourishing Mushrooms,,Q2799;Q2799,,Q2797;Q2797,,No,No
Q27981,,,Q31357,Q19038,Q17108,Q30175,No,No
Q27984,,,,,Q17108,Q18544,No,No
