Igbo,Niger–Congo,Asụsụ Igbo,ig,ibo,ibo,ibo,Description,Mọnde," Mọnde"," Fraịde"," Tọzdee"," Satọde"," Sọnde"," Sọnde"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," nke Sagittarius"," nke Capricorn"," nke Aquarius "," nke Pisces"," nke Aries"," nke Taurus"," nke Gemini"," nke Karkino"," na Leo"," na Virgo"," nke Libra"," na Scorpio"," nke Ophiuchus nke Horus"," AM"," PM",:,,-,,,,
Inupiaq,Eskimo–Aleut,Iñupiaq Iñupiatun,ik,ipk,ipk,ipk + 2,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Ido,Constructed,Ido,io,ido,ido,ido,constructed by De Beaufront 1907 as variation of Esperanto,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Icelandic,Indo-European,Íslenska,is,isl,ice,isl,Description,Mánudagur," þriðjudagur"," miðvikudagur"," fimmtudagur"," föstudagur"," laugardagur"," sunnudagur"," Skyttur"," Steingeit"," Vatnsberinn"," Pisces"," Hrúturinn"," Taurus"," Gemini"," Karkino"," Leo"," Meyjan"," Vogin"," Scorpio"," Ophiuchus"," Horus"," of Sagittarius"," of Capricorn"," of Aquarius "," af Pisces"," of Aries"," of Taurus"," of Gemini"," of Karkino"," of Leo"," of Virgo"," of Vog"," of Scorpio"," of Ophiuchus"," of Horus"," AM"," PM",:,-,,,,
Italian,Indo-European,Italiano,it,ita,ita,ita,Description,Lunedì," martedì"," mercoledì"," giovedì"," venerdì"," sabato"," domenica"," Sagittario"," Capricorno"," Acquario"," Pesci"," Ariete"," Toro"," Gemelli"," Karkino"," Leone"," Vergine"," Bilancia"," Scorpione"," Ofiuco"," Horus"," del Sagittario"," del Capricorno"," dell'Acquario "," di Pesci"," di Ariete"," di Toro"," di Gemelli"," di Karkino"," di Leone"," di Vergine"," di Bilancia"," di Scorpione"," di Ofiuco"," di Horus"," AM"," PM",:,-,,,,
Inuktitut,Eskimo–Aleut,ᐃᓄᒃᑎᑐᑦ,iu,iku,iku,iku + 2,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Japanese,Japonic,日本語 (にほんご),ja,jpn,jpn,jpn,Description,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,射手座,山羊座,水瓶座,魚座,牡羊座,牡牛座,双児宮,巨蟹宮,獅子宮,乙女座,天秤座,蠍座,へびつかい座,ホルス,射手座の,山羊座の,水瓶座の,魚座の,牡羊座の,牡牛座の,双児宮の,巨蟹宮の,獅子宮の,乙女座の,天秤座の,蠍座の,へびつかい座の,ホルスの,午前,"午後 ",:,-,,,,
Javanese,Austronesian,ꦧꦱꦗꦮ Basa Jawa,jv,jav,jav,jav,Description,Senin," Selasa"," Rebo"," Kamis"," Setu"," Minggu"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," Sagittarius"," saka Capricorn"," saka Aquarius "," saka Pisces"," saka Aries"," saka Taurus"," Gemini"," saka Karkino"," saka Leo"," Virgo"," saka Libra"," saka Scorpio"," saka Ophiuchus"," saka Horus"," AM"," PM",:,,-,,,,
Kalaallisut Greenlandic,Eskimo–Aleut,kalaallisut kalaallit oqaasii,kl,kal,kal,kal,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Kannada,Dravidian,ಕನ್ನಡ,kn,kan,kan,kan,Description,ಸೋಮವಾರ," ಮಂಗಳವಾರ"," ಬುಧವಾರ"," ಗುರುವಾರ"," ಶುಕ್ರವಾರ"," ಶನಿವಾರ"," ಭಾನುವಾರ"," ಧನು ರಾಶಿ"," ಮಕರ ಸಂಕ್ರಾಂತಿ"," ಅಕ್ವೇರಿಯಸ್"," ಮೀನ"," ಮೇಷ"," ವೃಷಭ ರಾಶಿ"," ಜೆಮಿನಿ"," ಕಾರ್ಕಿನೋ"," ಲಿಯೋ"," ಕನ್ಯಾರಾಶಿ"," ತುಲಾ"," ಸ್ಕಾರ್ಪಿಯೋ"," ಒಫಿಯುಚಸ್"," ಧನು ರಾಶಿಯ"," ಮಕರ ಸಂಕ್ರಾಂತಿಯ"," ಅಕ್ವೇರಿಯಸ್ "," ಮೀನ"," ಮೇಷ ರಾಶಿಯ"," ವೃಷಭ ರಾಶಿಯ"," ಜೆಮಿನಿಯ"," ಕಾರ್ಕಿನೊ"," ಲಿಯೋ"," ಕನ್ಯಾರಾಶಿ"," ತುಲಾ"," ಸ್ಕಾರ್ಪಿಯೋ"," ಒಫಿಯುಚಸ್"," ಹೋರಸ್"," ಎಎಮ್"," ಪಿಎಂ",:,,-,,,,
Kanuri,Nilo-Saharan,Kanuri,kr,kau,kau,kau + 3,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Kashmiri,Indo-European,कश्मीरी كشميري‎,ks,kas,kas,kas,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Kazakh,Turkic,қазақ тілі,kk,kaz,kaz,kaz,Description,Дүйсенбі," сейсенбі"," сәрсенбі"," бейсенбі"," жұма"," сенбі"," жексенбі"," Стрелец"," Козерог"," Балықтар"," Овен"," Телец"," Егіздер"," Каркино"," Лео"," Бикеш"," Тараза"," Скорпион"," Опищус"," Хорус"," Стрелец"," Козерог"," Суқұйғыш "," Балықтар"," Овен"," Таурус"," Егіздер"," Каркино"," Лев"," Бикеш"," Тараза"," Скорпион"," Опихус"," Хорус"," А.М."," Премьер",,,-,,,,
Central Khmer,Austroasiatic,ខ្មែរ ខេមរភាសា ភាសាខ្មែរ,km,khm,khm,khm,also known as Khmer or Cambodian,ថ្ងៃច័ន្ទថ្ងៃអង្គារថ្ងៃអង្គារថ្ងៃព្រហស្បតិ៍សុក្រសុក្រថ្ងៃសៅរ៍ថ្ងៃអាទិត្យ Sagittarius," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," នៃ Sagittarius"," នៃ Capricorn"," នៃ Aquarius "," ពីភីសស"," មកពី Aries"," នៃ Taurus"," នៃ Gemini"," នៃ Karkino"," នៃ Leo"," នៃ Virgo"," នៃ Libra"," នៃ Scorpio"," នៃ Ophiuchus"," នៃ Horus"," AM"," PM",:,,,,,,,,-,,,,
Kikuyu Gikuyu,Niger–Congo,Gĩkũyũ,ki,kik,kik,kik,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Kinyarwanda,Niger–Congo,Ikinyarwanda,rw,kin,kin,kin,Description,Ku wa mbere," Ku wa kabiri"," Ku wa gatatu"," Ku wa kane"," Ku wa gatanu"," Ku wa gatandatu"," Ku wa gatandatu"," Umuheto"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," wa Sagittari"," wa Capricorn"," wa Aquarius "," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," AM"," PM",:,-,,,,
Kirghiz Kyrgyz,Turkic,Кыргызча Кыргыз тили,ky,kir,kir,kir,Description,Дүйшөмбү," Шейшемби"," Шаршемби"," Бейшемби"," Жума"," Ишемби"," Жекшемби"," Стрелец"," Козерог"," Рыбы"," Овен"," Рыбы"," Эгиздер"," Каркино"," Лев"," Девушка"," Тараза"," Скорпион"," Опийус"," Хорус"," Стрелец"," Козерог"," Козерог "," Балыктар"," Овен"," Телец"," Эгиздер"," Каркино"," Лев"," Бийке"," Тараза"," Скорпион"," Опийус"," Хорус"," А.М.",AM,PM,:,-,,,,
Komi,Uralic,коми кыв,kv,kom,kom,kom + 2,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Kongo,Niger–Congo,Kikongo,kg,kon,kon,kon + 3,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Korean,Koreanic,한국어,ko,kor,kor,kor,Description,월요일," 화요일"," 수요일"," 목요일"," 금요일"," 토요일"," 일요일"," Sagittarius"," 염소 자리"," 물병 자리"," 물고기"," 양자리"," 황소 자리"," 쌍둥이 자리"," Karkino"," 레오"," 처녀 자리"," 천칭 자리"," 전갈 자리"," Ophiuchus"," 호루스"," 궁수 자리 물고기 자리"," 양자리"," 황소 자리"," 쌍둥이 자리"," 카르 키노"," 레오"," 처녀 자리"," 천칭 자리"," 전갈 자리"," 전갈 자리"," 호루스"," 오전"," 오후"," : ",,,,-,,,,
Kurdish,Indo-European,Kurdî کوردی‎,ku,kur,kur,kur + 3,macrolanguage,Duşem," Sêşem"," Wednesdayarşem"," Pêncşem"," Fridayemî"," Yekşem"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," of Sagittarius"," of Capricorn"," of Aquarius "," ji Pisces"," of Aries"," of Taurus"," of Gemini"," of Karkino"," of Leo"," of Virgo"," of Libra"," of Scorpio"," of Ophiuchus"," of Horus"," AM"," PM",:,,-,,,,
Kuanyama Kwanyama,Niger–Congo,Kuanyama,kj,kua,kua,kua,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Latin,Indo-European,latine lingua latina,la,lat,lat,lat,ancient,Lunae," Martis"," Mercurii"," Veneris"," Martis"," Veneris"," Solis"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchum Horus"," Sagittarius"," Capricornus"," Aquarius "," Piscium"," Aries"," Taurus"," Gemini"," qui Karkino"," Leo"," Virgo"," Libra"," et Aquarius"," qui perhibent Ophiuchum Horus"," AM"," AM",AM,PM,:,-,,,,
Luxembourgish Letzeburgesch,Indo-European,Lëtzebuergesch,lb,ltz,ltz,ltz,Description,Méindeg," Dënschdeg"," Mëttwoch"," Donneschdeg"," Freideg"," Samschdeg"," Sonndeg"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Widder"," Stier"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," of Sagittarius"," of Capricorn"," of Aquarius "," vu Pisces"," vun Widder"," vum Stier"," vu Gemini"," vum Karkino"," vum Leo"," vu Virgo"," vu Libra"," vun Scorpio"," vun Ophiuchus"," vun Horus"," AM"," PM",:,-,,,,
Ganda,Niger–Congo,Luganda,lg,lug,lug,lug,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Limburgan Limburger Limburgish,Indo-European,Limburgs,li,lim,lim,lim,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Lingala,Niger–Congo,Lingála,ln,lin,lin,lin,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Lao,Tai–Kadai,ພາສາລາວ,lo,lao,lao,lao,Description,ວັນຈັນ," ວັນອັງຄານ"," ວັນພຸດ"," ວັນພະຫັດ"," ວັນສຸກ"," ວັນເສົາ"," ວັນອາທິດ"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," ຂອງ Sagittarius"," ຂອງ Capricorn"," ຂອງ Aquarius "," ຂອງ Pisces"," ຂອງ Aries"," ຂອງ Taurus"," ຂອງ Gemini"," ຂອງ Karkino"," ຂອງ Leo"," ຂອງ Virgo"," ຂອງ Libra"," ຂອງ Scorpio"," ຂອງ Ophiuchus"," ຂອງ Horus"," AM"," PM",:,-,PM,:,:,
Lithuanian,Indo-European,lietuvių kalba,lt,lit,lit,lit,Description,Pirmadienis," antradienis"," trečiadienis"," ketvirtadienis"," penktadienis"," šeštadienis"," sekmadienis"," Šaulys"," Ožiaragis"," Vandenis"," Žuvys"," Avinas"," Jautis"," Dvyniai"," Karkino"," Liūtas"," Mergelė"," Svarstyklės"," Skorpionas"," Ophiuchus"," Horus"," Šaulys"," Ožiaragis"," Vandenis "," Žuvis"," Avinas"," Jautis"," Dvyniai"," Karinas"," Liūtas"," Mergelė"," Svarstyklės"," Skorpionas"," Ophiuchus"," Horusas"," AM"," PM",:,-,PM,:,:,
Luba-Katanga,Niger–Congo,Kiluba,lu,lub,lub,lub,also known as Luba-Shaba,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Latvian,Indo-European,latviešu valoda,lv,lav,lav,lav + 2,macrolanguage,Pirmdiena," otrdiena"," trešdiena"," ceturtdiena"," piektdiena"," sestdiena"," svētdiena"," Strēlnieks"," Mežāzis"," Ūdensvīrs"," Zivis"," Auns"," Vērsis"," Dvīņi"," Karkino"," Lauva"," Jaunava"," Svari"," Skorpions"," Ophiuchus"," Horus"," Strēlnieks"," Mežāzis"," Ūdensvīrs "," Zivis"," Auns"," Vērsis"," Dvīņi"," Karkino"," Leo"," Jaunava"," Svari"," Skorpions"," Ophiuchus"," Horus"," AM"," PM:",AM,-,:,:,,
Manx,Indo-European,Gaelg Gailck,gv,glv,glv,glv,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Macedonian,Indo-European,македонски јазик,mk,mkd,mac,mkd,Description,Понеделник," вторник"," среда"," четврток"," петок"," петок"," сабота"," недела"," Стрелец"," Јарец"," Водолија"," риби"," Овен"," Бик"," Близнаци"," Каркино"," Лав"," Девица"," Вага"," Шкорпија"," Офихус"," Хорус"," Стрелец"," на Јарец"," на Водолија "," од Риби"," од Овен"," од Бик"," од Близнаци"," од Каркино"," од Лав"," од Девица"," од Вага"," од Шкорпија"," од Офинус"," од Хорус"," АМ"," ПМ",-,AM,PM,:,:
Malagasy,Austronesian,fiteny malagasy,mg,mlg,mlg,mlg + 11,macrolanguage,Alatsinainy," Talata"," Alarobia"," Alakamisy"," Asabotsy"," Alahady"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," Sagittarius"," ny Capricorn"," an'i Aquarius "," an'ny Pisces"," avy any Aries"," ao amin'i Taurus"," ny Gemini"," ny Karkino"," ny Leo"," ny Virgo"," ny Libra"," ny Scorpio"," ny Ophiuchus"," avy amin'i Horus"," AM"," PM",:,AM,-,:,:,,
Malay,Austronesian,Bahasa Melayu بهاس ملايو‎,ms,msa,may,msa + 36,macrolanguage Standard Malay is [zsm] Indonesian is [id/ind],Isnin," Selasa"," Rabu"," Khamis"," Jumaat"," Sabtu"," Ahad"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," of Sagittarius"," Capricorn"," Aquarius "," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," AM"," PM",:,-,,,,
Malayalam,Dravidian,മലയാളം,ml,mal,mal,mal,Description,തിങ്കൾ," ചൊവ്വ"," ബുധൻ"," വ്യാഴം"," വെള്ളി"," ശനി"," ഞായർ"," ധനു"," കാപ്രിക്കോൺ"," അക്വേറിയസ്"," മീനം"," ഏരീസ്"," ഇടവം"," ജെമിനി"," കാർക്കിനോ"," ലിയോ"," കന്നി"," തുലാം"," സ്കോർപിയോ"," ഒഫിയൂച്ചസ്"," ഹോറസ്"," ധനു"," കാപ്രിക്കോൺ"," അക്വേറിയസ് "," പിസസ്"," ഏരീസ്"," ടാരസ്"," ജെമിനി"," കാർക്കിനോ"," ലിയോ"," കന്നി"," തുലാം"," സ്കോർപിയോ"," ഒഫിയൂച്ചസ്"," ഹോറസ്"," എ എം"," പി എം",:,-,PM,:,:,
Maltese,Afro-Asiatic,Malti,mt,mlt,mlt,mlt,Description,It-Tnejn," it-Tlieta"," l-Erbgħa"," il-Ħamis"," il-Ġimgħa"," is-Sibt"," il-Ħadd"," Sagittarius"," Kaprikornu"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," ta 'Sagittarius"," ta' Capricorn"," ta 'Aquarius "," ta 'Pisces"," ta' Aries"," ta 'Taurus"," ta' Gemini"," ta 'Karkino"," ta' Leo"," ta 'Virgo"," ta' Libra"," ta 'Scorpio"," ta' Ophiuchus"," ta 'Horus"," AM"," PM",:,-,PM,:,:,
Maori,Austronesian,te reo Māori,mi,mri,mao,mri,also known as Māori,Mane," Rātapu"," Wenerei"," Rāpare"," Paraire"," Hatarei"," Rātapu"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," o Sagittarius"," o Capricorn"," o Aquarius "," a Pisces"," a Aries"," o Taurus"," o Gemini"," a Karkino"," a Leo"," a Virgo"," o Libra"," o Scorpio"," o Ophiuchus"," o Horus"," AM"," PM",:,-,PM,:,:,
Marathi,Indo-European,मराठी,mr,mar,mar,mar,also known as Marāṭhī,सोमवार," मंगळवार"," बुधवार"," गुरुवार"," शुक्रवार"," शनिवार"," रविवार"," धनु"," मकर"," कुंभ"," मीन"," मेष"," वृषभ"," मिथुन"," कारकिनो"," सिंह"," कन्या"," तुला"," वृश्चिक"," ओफिचस"," होरस"," मकर राशीचा"," कुंभ"," मीन"," मेष"," वृषभ"," मिथुन"," मिथुन"," करकिनो"," लिओ"," कन्या"," तुला"," वृश्चिक"," ओफियुकस"," होरस"," एएम"," पंतप्रधान",AM,-,:,:,,
Marshallese,Austronesian,Kajin M̧ajeļ,mh,mah,mah,mah,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Mongolian,Mongolic,Монгол хэл,mn,mon,mon,mon + 2,macrolanguage,Даваа," Мягмар"," Лхагва"," Пүрэв"," Баасан"," Бямба"," Ням гараг"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," Sagittarius"," Capricorn"," Aquarius "," Писисын"," Арийс"," Үхрийн"," Гемини"," Каркино"," Лео"," Вирго"," Либра"," Скорпио"," Опиучус"," Хорус"," AM"," PM",:,-,PM,:,:,
Nauru,Austronesian,Dorerin Naoero,na,nau,nau,nau,also known as Nauruan,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Navajo Navaho,Dené–Yeniseian,Diné bizaad,nv,nav,nav,nav,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
North Ndebele,Niger–Congo,isiNdebele,nd,nde,nde,nde,also known as Northern Ndebele,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Nepali,Indo-European,नेपाली,ne,nep,nep,nep + 2,macrolanguage,सोमबार," म Tuesday्गलबार"," बुधवार"," बिहिबार"," शुक्रवार"," शनिबार"," आइतवार"," धनु"," मकर"," कुम्भ"," मीन"," मेष"," वृष"," मिथुन"," कार्किनो"," लियो"," कन्या"," तुला"," वृश्चिक"," ओफिचस"," होरस"," मकर राशिको"," कुम्भ"," "," मीन"," मेष"," वृष"," रत्न"," मिथुन"," कार्किनो"," लिओ"," लिर्ग"," कन्या"," तुला"," वृश्चिक"," ओफियुकस"," होरस"," एएम",-,AM,PM,:,:
Ndonga,Niger–Congo,Owambo,ng,ndo,ndo,ndo,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Norwegian Bokmål,Indo-European,Norsk Bokmål,nb,nob,nob,nob,Covered by macrolanguage [no/nor],Mandag," tirsdag"," onsdag"," torsdag"," fredag"," lørdag"," søndag"," Skytten"," Steinbukken"," Vannmannen"," Fiskene"," Væren"," Tyren"," Tvillingene"," Karkino"," Leo"," Jomfru"," Vekten"," Skorpionen"," Ophiuchus"," Horus"," av Skytten"," av Steinbukken"," av Vannmannen "," av Fiskene"," av Væren"," av Tyren"," av Tvillingene"," av Karkino"," av Leo"," av Jomfruen"," av Vekten"," av Skorpionen"," av Ophiuchus"," av Horus"," AM"," PM",:,-,PM,:,:,
Norwegian Nynorsk,Indo-European,Norsk Nynorsk,nn,nno,nno,nno,Covered by macrolanguage [no/nor],Mandag," tirsdag"," onsdag"," torsdag"," fredag"," lørdag"," søndag"," Skytten"," Steinbukken"," Vannmannen"," Fiskene"," Væren"," Tyren"," Tvillingene"," Karkino"," Leo"," Jomfru"," Vekten"," Skorpionen"," Ophiuchus"," Horus"," av Skytten"," av Steinbukken"," av Vannmannen "," av Fiskene"," av Væren"," av Tyren"," av Tvillingene"," av Karkino"," av Leo"," av Jomfruen"," av Vekten"," av Skorpionen"," av Ophiuchus"," av Horus"," AM"," PM",:,-,PM,:,:,
Norwegian,Indo-European,Norsk,no,nor,nor,nor + 2,macrolanguage Bokmål is [nb/nob] Nynorsk is [nn/nno],Mandag," tirsdag"," onsdag"," torsdag"," fredag"," lørdag"," søndag"," Skytten"," Steinbukken"," Vannmannen"," Fiskene"," Væren"," Tyren"," Tvillingene"," Karkino"," Leo"," Jomfru"," Vekten"," Skorpionen"," Ophiuchus"," Horus"," av Skytten"," av Steinbukken"," av Vannmannen "," av Fiskene"," av Væren"," av Tyren"," av Tvillingene"," av Karkino"," av Leo"," av Jomfruen"," av Vekten"," av Skorpionen"," av Ophiuchus"," av Horus"," AM"," PM",:,-,,,,
Sichuan Yi Nuosu,Sino-Tibetan,ꆈꌠ꒿ Nuosuhxop,ii,iii,iii,iii,Standard form of Yi languages,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
South Ndebele,Niger–Congo,isiNdebele,nr,nbl,nbl,nbl,also known as Southern Ndebele,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Occitan,Indo-European,occitan lenga d'òc,oc,oci,oci,oci,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Ojibwa,Algonquian,ᐊᓂᔑᓈᐯᒧᐎᓐ,oj,oji,oji,oji + 7,macrolanguage also known as Ojibwe,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Church Slavic Old Slavonic Church Slavonic Old Bulgarian Old Church Slavonic,Indo-European,ѩзыкъ словѣньскъ,cu,chu,chu,chu,ancient in use by Orthodox Church,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Oromo,Afro-Asiatic,Afaan Oromoo,om,orm,orm,orm + 4,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Oriya,Indo-European,ଓଡ଼ିଆ,or,ori,ori,ori + 2,macrolanguage also known as Odia,ସୋମବାର," ମଙ୍ଗଳବାର"," ବୁଧବାର"," ଗୁରୁବାର"," ଶୁକ୍ରବାର"," ଶନିବାର"," ରବିବାର"," ଧନୁ ରାଶି"," ମକର ରାଶି"," କୁମ୍ଭୀର"," ପିସ୍"," ମେଷ"," ବୃଷ"," ମିଥୁନ"," କାରକିନୋ"," ଲିଓ"," କୁମାରୀ"," ଲିବ୍ରା"," ବିଛା"," ଓଫିଚସ୍"," ହୋରସ୍"," କୁମ୍ଭର ମକର ରାଶିର "," ପିସ୍"," ଆରିସ୍"," ବୃଷ"," ମିଥୁନ"," କାର୍କିନୋ"," ଲିଓ"," କୁମାରୀ"," ଲିବ୍ରା"," ସ୍କର୍ପିଓ"," ଓଫିଚସ୍"," ହୋରସ୍"," ଏମ୍"," PM",:,AM,PM,-,:,,,
Ossetian Ossetic,Indo-European,ирон æвзаг,os,oss,oss,oss,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Punjabi Panjabi,Indo-European,ਪੰਜਾਬੀ پنجابی‎,pa,pan,pan,pan,Description,ਸੋਮਵਾਰ," ਮੰਗਲਵਾਰ"," ਬੁੱਧਵਾਰ"," ਵੀਰਵਾਰ"," ਸ਼ੁੱਕਰਵਾਰ"," ਸ਼ਨੀਵਾਰ"," ਐਤਵਾਰ"," ਧਨ"," ਮਕਰ"," ਕੁੰਭਰੂ"," ਮੀਨ"," ਮੇਰਿਸ਼"," ਟੌਰਸ"," ਜੇਮਿਨੀ"," ਕਾਰਕਿਨੋ"," ਲਿਓ"," ਕੁਹਾ"," ਲਿਬੜਾ"," ਸਕਾਰਪੀਓ"," ਓਫੀਚਸ"," ਹੋਰਸ"," ਮਕਰ ਦੇ"," ਮਕਰ ਦਾ"," "," ਮੀਨ ਦਾ"," ਮੇਰੀਆਂ ਦਾ"," ਟੌਰਸ ਦਾ"," ਜੈਮਿਨੀ ਦਾ"," ਕਾਰਕਿਨੋ ਦਾ"," ਲੀਓ ਦਾ"," ਵਰਗੋ ਦਾ"," ਲਿਬਰਾ ਦਾ"," ਸਕਾਰਪੀਓ ਦਾ"," ਓਫੀਚੁਸ ਦਾ"," ਹੋਰਸ ਦਾ"," ਏ.ਐੱਮ"," ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਾ",:,-,PM,:,:,
Pali,Indo-European,पालि पाळि,pi,pli,pli,pli,ancient also known as Pāli,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Persian,Indo-European,فارسی,fa,fas,per,fas + 2,macrolanguage also known as Farsi,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Polish,Indo-European,język polski polszczyzna,pl,pol,pol,pol,Description,Poniedziałek," wtorek"," środa"," czwartek"," piątek"," sobota"," niedziela"," Strzelec"," Koziorożec"," Wodnik"," Ryby"," Baran"," Byk"," Bliźnięta"," Karkino"," Lew"," Panna"," Waga"," Skorpion"," Ophiuchus"," Horus"," Strzelec"," Koziorożec"," Wodnik "," Ryby"," Baran"," Byk"," Bliźnięta"," Karkino"," Lew"," Panna"," Waga"," Skorpion"," Ophiuchus"," Horus"," AM"," PM",:,-,,,,
Pashto Pushto,Indo-European,پښتو,ps,pus,pus,pus + 3,macrolanguage,"دوشنبه "," سه شنبه "," چهارشنبه "," پنجشنبه "," جمعه "," شنبه "," یکشنبه "," سنګریت "," مکر "," کوبریوس "," پیس "," عریش "," توروس "," جیمني "," کارکینو "," لیو "," وریګو "," لبرا "," اسکاپیو "," اوپیچوس "," هوروس "," د خطبي "," د کب د میاشتي د ميراو (عج) "," د عيش "," د توروس "," جيميني "," كارني "," د ليو د "," ورګو "," د ليبرا "," اسكورپيو "," د افشيوس "," د حوريوس څخه "," ام "," ام ",,,,-,,,,
